l_ear,l_forehead,r_forehead,r_ear,ch5,ch6
852.6007326007326,814.7252747252747,828.021978021978,834.4688644688645,nan,nan
857.032967032967,816.7399267399268,827.2161172161173,837.6923076923077,nan,nan
853.0036630036631,817.1428571428571,826.8131868131868,842.5274725274726,nan,nan
855.0183150183151,821.978021978022,828.4249084249085,846.1538461538462,nan,nan
862.2710622710623,822.7838827838829,828.8278388278388,843.7362637362637,nan,nan
861.8681318681319,819.1575091575091,827.2161172161173,843.3333333333334,nan,nan
860.6593406593407,823.992673992674,826.8131868131868,839.7069597069598,nan,nan
865.4945054945056,821.5750915750916,826.8131868131868,837.6923076923077,nan,nan
872.3443223443223,817.5457875457876,831.6483516483516,840.5128205128206,nan,nan
865.0915750915751,816.3369963369963,831.6483516483516,840.9157509157509,nan,nan
854.6153846153846,814.7252747252747,829.6336996336996,850.1831501831502,nan,nan
863.4798534798535,817.948717948718,831.2454212454213,849.7802197802198,nan,nan
862.2710622710623,821.5750915750916,831.6483516483516,825.2014652014652,nan,nan
870.7326007326008,814.3223443223443,838.0952380952381,821.1721611721612,nan,nan
847.7655677655678,823.992673992674,834.8717948717949,818.3516483516484,nan,nan
863.8827838827839,820.3663003663004,835.2747252747253,829.2307692307693,nan,nan
851.7948717948718,816.7399267399268,834.0659340659341,820.7692307692308,nan,nan
851.3919413919414,815.934065934066,836.886446886447,828.4249084249085,nan,nan
857.8388278388279,819.5604395604396,837.6923076923077,830.4395604395604,nan,nan
857.8388278388279,824.3956043956044,831.2454212454213,826.4102564102565,nan,nan
858.6446886446887,819.1575091575091,835.2747252747253,817.1428571428571,nan,nan
858.2417582417582,815.5311355311355,838.0952380952381,813.5164835164835,nan,nan
850.989010989011,823.992673992674,839.3040293040293,792.967032967033,nan,nan
859.4505494505495,822.3809523809524,841.3186813186813,783.6996336996338,nan,nan
865.8974358974359,810.6959706959707,839.3040293040293,794.5787545787546,nan,nan
860.6593406593407,814.3223443223443,832.0512820512821,789.7435897435897,nan,nan
847.3626373626374,816.7399267399268,838.4981684981685,776.0439560439561,nan,nan
839.7069597069598,816.3369963369963,844.945054945055,773.6263736263736,nan,nan
851.7948717948718,815.5311355311355,831.6483516483516,791.3553113553114,nan,nan
848.974358974359,815.1282051282052,828.4249084249085,790.5494505494506,nan,nan
841.7216117216118,814.3223443223443,833.6630036630037,790.1465201465202,nan,nan
839.3040293040293,811.9047619047619,835.2747252747253,796.1904761904763,nan,nan
840.1098901098901,813.5164835164835,830.4395604395604,794.1758241758242,nan,nan
839.7069597069598,818.3516483516484,832.4542124542124,790.952380952381,nan,nan
833.2600732600733,817.948717948718,834.0659340659341,784.5054945054945,nan,nan
832.4542124542124,813.5164835164835,832.4542124542124,786.9230769230769,nan,nan
832.8571428571429,813.919413919414,836.4835164835165,782.893772893773,nan,nan
834.8717948717949,813.919413919414,837.2893772893773,789.3406593406594,nan,nan
837.2893772893773,812.3076923076924,840.1098901098901,799.0109890109891,nan,nan
853.4065934065934,811.9047619047619,839.7069597069598,797.8021978021978,nan,nan
865.8974358974359,813.919413919414,836.0805860805862,798.2051282051282,nan,nan
856.2271062271062,815.1282051282052,836.0805860805862,803.8461538461539,nan,nan
846.5567765567765,816.3369963369963,836.886446886447,804.6520146520147,nan,nan
836.886446886447,816.7399267399268,839.3040293040293,801.4285714285714,nan,nan
827.2161172161173,814.3223443223443,842.9304029304029,808.6813186813187,nan,nan
823.5897435897436,815.1282051282052,843.7362637362637,808.6813186813187,nan,nan
823.1868131868132,814.7252747252747,842.1245421245421,807.8754578754579,nan,nan
820.7692307692308,813.1135531135532,839.7069597069598,808.6813186813187,nan,nan
815.1282051282052,815.934065934066,834.8717948717949,806.2637362637363,nan,nan
821.1721611721612,817.1428571428571,840.1098901098901,807.0695970695971,nan,nan
830.8424908424909,813.919413919414,845.3479853479854,815.934065934066,nan,nan
826.007326007326,814.3223443223443,841.3186813186813,809.4871794871796,nan,nan
827.6190476190476,813.5164835164835,839.3040293040293,802.2344322344322,nan,nan
832.4542124542124,816.3369963369963,836.4835164835165,807.8754578754579,nan,nan
823.5897435897436,817.948717948718,833.2600732600733,804.2490842490843,nan,nan
821.1721611721612,815.1282051282052,832.4542124542124,805.054945054945,nan,nan
819.96336996337,815.934065934066,837.2893772893773,807.4725274725275,nan,nan
818.3516483516484,815.1282051282052,836.0805860805862,816.3369963369963,nan,nan
821.5750915750916,811.9047619047619,830.8424908424909,821.978021978022,nan,nan
821.978021978022,811.0989010989011,830.8424908424909,823.1868131868132,nan,nan
823.5897435897436,811.9047619047619,834.4688644688645,822.7838827838829,nan,nan
821.1721611721612,814.3223443223443,834.8717948717949,826.007326007326,nan,nan
821.1721611721612,815.5311355311355,831.6483516483516,833.2600732600733,nan,nan
822.3809523809524,813.919413919414,831.2454212454213,838.901098901099,nan,nan
821.978021978022,812.7106227106227,836.4835164835165,843.3333333333334,nan,nan
817.948717948718,813.5164835164835,837.2893772893773,827.2161172161173,nan,nan
828.021978021978,813.919413919414,835.2747252747253,821.5750915750916,nan,nan
832.0512820512821,815.1282051282052,835.6776556776557,823.5897435897436,nan,nan
822.3809523809524,817.948717948718,832.0512820512821,827.6190476190476,nan,nan
826.4102564102565,817.1428571428571,830.8424908424909,829.6336996336996,nan,nan
827.6190476190476,815.934065934066,828.4249084249085,823.5897435897436,nan,nan
823.992673992674,819.1575091575091,827.6190476190476,822.7838827838829,nan,nan
826.4102564102565,819.5604395604396,831.6483516483516,836.0805860805862,nan,nan
821.978021978022,814.7252747252747,836.886446886447,834.4688644688645,nan,nan
820.7692307692308,819.1575091575091,839.3040293040293,828.8278388278388,nan,nan
826.8131868131868,819.1575091575091,839.7069597069598,835.6776556776557,nan,nan
824.3956043956044,819.5604395604396,841.7216117216118,833.2600732600733,nan,nan
821.5750915750916,818.7545787545788,840.5128205128206,830.4395604395604,nan,nan
